IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,REGION
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,Northeast
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,South
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,West
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,Midwest
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,South
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,Northeast
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,South
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,West
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,Northeast
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603,West
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,West
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,South
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645,South
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,West
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,Northeast
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034,Midwest
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593,South
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619,West
APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029,Midwest
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885,West
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,South
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948,Midwest
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987,South
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181,South
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427,Northeast
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206,Midwest
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323,Northeast
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838,West
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677,West
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961,Northeast
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814,Northeast
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355,South
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286,West
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672,Midwest
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372,Midwest
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753,West
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595,Midwest
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,South
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278,West
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518,Northeast
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069,South
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631,South
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944,Over Seas Territory
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.39786,-94.13723,Midwest
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586,South
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.766,West
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746,West
